Source,Target,Type,ID,Label,Weight
180,79,Directed,943,,1
180,79,Directed,944,,1
180,165,Directed,945,,1
180,231,Directed,946,,5
180,232,Directed,947,,1
181,13,Directed,948,,1
181,59,Directed,949,,7
181,60,Directed,950,,7
181,66,Directed,951,,1
181,68,Directed,952,,1
181,69,Directed,953,,4
181,70,Directed,954,,2
181,83,Directed,955,,1
181,84,Directed,956,,2
181,166,Directed,957,,3
181,167,Directed,958,,5
181,176,Directed,959,,1
181,176,Directed,960,,1
181,177,Directed,961,,1
181,177,Directed,962,,1
181,184,Directed,963,,1
181,186,Directed,964,,2
181,187,Directed,965,,1
181,221,Directed,966,,1
181,222,Directed,967,,2
181,222,Directed,968,,1
181,223,Directed,969,,1
181,224,Directed,970,,1
181,236,Directed,971,,1
182,12,Directed,972,,1
182,165,Directed,973,,1
182,183,Directed,974,,2
182,186,Directed,975,,2
182,201,Directed,976,,3
182,212,Directed,977,,2
182,222,Directed,978,,1
182,223,Directed,979,,1
183,13,Directed,980,,1
183,165,Directed,981,,1
183,182,Directed,982,,2
183,184,Directed,983,,1
183,187,Directed,984,,1
183,189,Directed,985,,1
183,193,Directed,986,,1
183,211,Directed,987,,2
183,221,Directed,988,,2
183,224,Directed,989,,2
183,224,Directed,990,,2
184,132,Directed,991,,1
184,186,Directed,992,,1
184,188,Directed,993,,1
184,189,Directed,994,,7
184,221,Directed,995,,1
185,188,Directed,996,,1
185,189,Directed,997,,1
185,201,Directed,998,,1
185,222,Directed,999,,1
185,233,Directed,1000,,1
186,165,Directed,1001,,3
186,184,Directed,1002,,1
186,185,Directed,1003,,1
186,187,Directed,1004,,3
186,188,Directed,1005,,1
186,192,Directed,1006,,1
186,194,Directed,1007,,1
187,68,Directed,1008,,1
187,165,Directed,1009,,3
187,177,Directed,1010,,2
187,181,Directed,1011,,1
187,184,Directed,1012,,1
187,186,Directed,1013,,1
187,189,Directed,1014,,1
188,60,Directed,1015,,1
188,184,Directed,1016,,1
188,185,Directed,1017,,6
188,186,Directed,1018,,1
188,189,Directed,1019,,1
188,202,Directed,1020,,1
188,223,Directed,1021,,1
189,59,Directed,1022,,1
189,60,Directed,1023,,1
189,131,Directed,1024,,1
189,184,Directed,1025,,1
189,185,Directed,1026,,1
189,187,Directed,1027,,1
189,188,Directed,1028,,1
189,203,Directed,1029,,1
189,214,Directed,1030,,1
189,216,Directed,1031,,1
189,224,Directed,1032,,1
190,166,Directed,1033,,1
190,167,Directed,1034,,1
190,178,Directed,1035,,1
190,179,Directed,1036,,1
190,193,Directed,1037,,2
191,193,Directed,1038,,1
192,193,Directed,1039,,1
193,59,Directed,1040,,1
193,60,Directed,1041,,1
193,115,Directed,1042,,1
193,190,Directed,1043,,2
193,191,Directed,1044,,1
193,192,Directed,1045,,1
193,222,Directed,1046,,1
194,68,Directed,1047,,4
194,69,Directed,1048,,4
194,161,Directed,1049,,1
194,174,Directed,1050,,1
194,187,Directed,1051,,3
194,197,Directed,1052,,1
194,230,Directed,1053,,1
197,15,Directed,1054,,1
